Author	Title	Tags	Directory
Rhys Bowen	Murphy’s Law	2001, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Joe R. Lansdale	The Bottoms	2001, Edgar-Allen-Poe-Award-for-Best-Novel2011, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Val McDermid	A Place of Execution	 Anthony-Award-for-Best-Novel-Winner, 2001	mystery-fiction
Connie Willis	Passage	Locus-Award-for-Best-Science-Fiction, 2001, Locus-Award-for-Best-Science-Fiction2002	science-fiction
Poul Anderson	Genesis	Novel, 2001, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
Zadie Smith	White Teeth	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 2000, Identity, Times-All-Time-100-Novels	fiction
Margaret Atwood	The Blind Assassin	Fiction, Novel, 2000, Booker Prize (2000), Times-All-Time-100-Novels	2000, Booker Prize (2000)
Greg Bear	Darwin's Radio	Novel, Nebula-Award-for-Best-Novel2000, 2000, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Del Rey Books, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
J. K. Rowling	Harry Potter and the Goblet of Fire	Hugo-Award-for-Best-Novel2001, Novel, Hugo-Award-for-Best-Novel, 2000, Bloomsbury Publishing, science-fiction	science-fiction
Margaret Maron	Storm Track	Agatha-Award-for-Best-Novel-Winner, 2000	mystery-fiction
Jan Burke	Bones	Edgar-Allen-Poe-Award-for-Best-Novel-Winner) , 2000	
Peter Robinson	In a Dry Season	 Anthony-Award-for-Best-Novel-Winner, 2000	mystery-fiction
Ursula K. Le Guin	The Telling	Locus-Award-for-Best-Science-Fiction, 2000, Locus-Award-for-Best-Science-Fiction2001	science-fiction
George R. R. Martin	A Storm of Swords	Locus-Award-for-Best-Fantasy-Fiction, 2000, Locus-Award-for-Best-Fantasy2001	fantasy-fiction
Octavia E. Butler	Parable of the Talents	Novel, 1999, Seven Stories Press, Nebula-Award-for-Best-Novel1999, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Vernor Vinge	A Deepness in the Sky	Hugo-Award-for-Best-Novel2000, Novel, Hugo-Award-for-Best-Novel, novel, 2000, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science fiction, 1999, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel-Finalist, Tor Books, science-fiction	science-fiction
Earlene Fowler	Mariner’s Compass	Agatha-Award-for-Best-Novel-Winner, 1999	mystery-fiction
Robert Clark	Mr. White’s Confession	1999, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Michael Connelly	Blood Work	 Anthony-Award-for-Best-Novel-Winner, 1999	mystery-fiction
Neal Stephenson	Cryptonomicon	Locus-Award-for-Best-Science-Fiction, 1999, Locus-Award-for-Best-Science-Fiction2000	science-fiction
J. K. Rowling	Harry Potter and the Prisoner of Azkaban	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2000, 1999	fantasy-fiction
J. M. Coetzee	Disgrace	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Nobel Prize in Literature (2003), 1999, Class-Society, South-African	fiction
George Zebrowski	Brute Orbits	HarperPrism, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 1999, science-fiction	science-fiction
Connie Willis	To Say Nothing of the Dog	Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, novel, 1998, science-fiction, Bantam Spectra, Hugo-Award-for-Best-Novel1999, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1999, science fiction	science-fiction
Laura Lippman	Butchers Hill	Agatha-Award-for-Best-Novel-Winner, 1998	mystery-fiction
James Lee Burke	Cimarron Rose	1998, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
S. J. Rozan	No Colder Place	 Anthony-Award-for-Best-Novel-Winner, 1998	mystery-fiction
George R. R. Martin	A Clash of Kings	Locus-Award-for-Best-Fantasy-Fiction, 1998, Locus-Award-for-Best-Fantasy1999	fantasy-fiction
J. K. Rowling	Harry Potter (series)	1997, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age	fiction
Arundhati Roy	The God of Small Things	1997, Fiction, BBC-100-Most-Inspiring-Novels, Indian, Novel, Identity	fiction
Philip Roth	American Pastoral	1997, Fiction, Novel, Pulitzer Prize for Fiction (1998), Times-All-Time-100-Novels	1997, Pulitzer Prize for Fiction (1998)
Vonda N. McIntyre	The Moon and the Sun	1997, Novel, science-fiction, Pocket Books, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1997	science-fiction
Joe Haldeman	Forever Peace	1997, Ace Books, Novel, Hugo-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 1998, Nebula-Award-for-Best-Novel1998, Hugo-Award-for-Best-Novel1998, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Kate Ross	The Devil in Music	Agatha-Award-for-Best-Novel-Winner, 1997	mystery-fiction
Thomas H. Cook	The Chatham School Affair	1997, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Michael Connelly	The Poet	 Anthony-Award-for-Best-Novel-Winner, 1997	mystery-fiction
Dan Simmons	The Rise of Endymion	Locus-Award-for-Best-Science-Fiction1998, Locus-Award-for-Best-Science-Fiction, 1997	science-fiction
Tim Powers	Earthquake Weather	Locus-Award-for-Best-Fantasy-Fiction, 1997, Locus-Award-for-Best-Fantasy1998	fantasy-fiction
Paul J. McAuley	Fairyland	1997, Novel, science-fiction, Victor Gollancz Ltd, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Helen Fielding	Bridget Jones's Diary	1996, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Love-Sex-Romance	fiction
Anne Michaels	Fugitive Pieces	Canadian, Books-in-Canada-First-Novel-Award, Fiction, BBC-100-Most-Inspiring-Novels, 1996, Novel, Trillium-Book-Award, Jewish-Quarterly-Wingate Prize, Identity, Guardian-Fiction-Prize, Orange-Prize-for-Fiction	fiction
David Foster Wallace	Infinite Jest	Novel, 1996, Fiction, Times-All-Time-100-Novels	fiction
Nicola Griffith	Slow River	1996, Novel, Del Rey Books, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1996, science-fiction	science-fiction
Kim Stanley Robinson	Blue Mars	1996, Fiction, HarperCollins Voyager, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Locus-Award-for-Best-Science-Fiction1997, Locus-Award-For-Best-Science-Fiction, Hugo-Award-for-Best-Novel1996, science-fiction	science-fiction
Margaret Maron	Up Jumps the Devil	1996, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Dick Francis	Come to Grief	1996, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Mary Willis Walker	Under the Beetle's Cellar	 Anthony-Award-for-Best-Novel-Winner, 1996	mystery-fiction
George R. R. Martin	A Game of Thrones	Life-Death-Other-Worlds, Locus-Award-For-Best-Fantasy-Novel, Fantasy, BBC-100-Most-Inspiring-Novels, HarperCollins Voyager, 1996, Novel, World-Fantasy-Award-finalist, Bantam Spectra, American, Locus-Award-for-Best-Fantasy1997, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel-Finalist, science-fiction	fantasy-fiction
Stephen Baxter	The Time Ships	HarperCollins, 1996, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Salman Rushdie	The Moor's Last Sigh	1995, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers	fiction
Philip Pullman	His Dark Materials (trilogy)	1995, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Adventure	fiction
James Ellroy	American Tabloid	1995, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, American	fiction
Ben Okri	Astonishing the Gods	1995, Life-Death-Other-Worlds, BBC-100-Most-Inspiring-Novels, Fiction, Nigerian, Novel	fiction
Robert J. Sawyer	The Terminal Experiment	1995, Novel, science-fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1995, HarperPrism	science-fiction
Neal Stephenson	The Diamond Age	1995, Fiction, Novel, Hugo-Award-for-Best-Novel, novel, Locus-Award-for-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science fiction, Bantam Spectra, Locus-Award-for-Best-Science-Fiction1996, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, Hugo-Award-for-Best-Novel1996, science-fiction	science-fiction
Sharyn McCrumb	If I’d Killed Him When I Met Him	1995, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Mary Willis Walker	The Red Scream	1995, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sharyn McCrumb	She Walks These Hills	1994, 1995,  Anthony-Award-for-Best-Novel-Winner, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Orson Scott Card	Alvin Journeyman	Locus-Award-for-Best-Fantasy-Fiction, 1995, Locus-Award-for-Best-Fantasy1996	fantasy-fiction
Greg Egan	Permutation City	1995, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Millennium, science-fiction	science-fiction
Greg Bear	Moving Mars	1994, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel, Tor Books, Nebula-Award-for-Best-Novel1994, science-fiction	science-fiction
Lois McMaster Bujold	Mirror Dance	1994, Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Baen Books, Locus-Award-for-Best-Science-Fiction1995, Locus-Award-For-Best-Science-Fiction, Hugo-Award-for-Best-Novel1995, science-fiction	science-fiction
Minette Walters	The Sculptress	1994, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Marcia Muller	Wolf in the Shadows	1994,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Michael Bishop	Brittle Innings	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1995, 1994	fantasy-fiction
(no award)+		, 1994, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Vikram Seth	A Suitable Boy	Family-Friendship, BBC-100-Most-Inspiring-Novels, Fiction, Indian, 1993, Novel	fiction
Annie Proulx	The Shipping News	Family-Friendship, Fiction, BBC-100-Most-Inspiring-Novels, 1993, Novel, American	fiction
Kim Stanley Robinson	Red Mars	1993, novel, Novel, Bantam Spectra, science-fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1993, science fiction	science-fiction
Roger Zelazny	A Night in the Lonesome October	1993, Novel, Morrow AvoNova, goodreads-4.16, Nebula-Award-for-Best-Novel-Finalist1995, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel1993, science-fiction	science-fiction
Kim Stanley Robinson	Green Mars	HarperCollins, Fiction, 1993, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Bantam Spectra, Locus-Award-for-Best-Science-Fiction1994, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, Hugo-Award-for-Best-Novel1993, science-fiction	science-fiction
Carolyn Hart	Dead Man’s Island	Agatha-Award-for-Best-Novel-Winner, 1993	mystery-fiction
Peter S. Beagle	The Innkeeper's Song	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1994, 1993	fantasy-fiction
Charles Sheffield	Brother to Dragons	1993, Novel, science-fiction, Baen Books, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Margaret Maron	Bootlegger’s Daughter	1992, 1993, Agatha-Award-for-Best-Novel-Winner, Edgar-Allen-Poe-Award-for-Best-Novel-Winner,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
P. D. James	The Children of Men	Fiction, British, 1992, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict	fiction
Neal Stephenson	Snow Crash	Fiction, 1992, Novel, novel, science fiction, Times-All-Time-100-Novels	science-fiction
Connie Willis	Doomsday Book	Fiction, 1992, Novel, Hugo-Award-for-Best-Novel, novel, Locus-Award-for-Best-Science-Fiction, Bantam Spectra, science fiction, Locus-Award-for-Best-Science-Fiction1993, Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel1992, Hugo-Award-for-Best-Novel1993, science-fiction	science-fiction
Vernor Vinge	A Fire Upon the Deep	1992, Novel, Hugo-Award-for-Best-Novel, novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science fiction, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel1993, Tor Books, science-fiction	science-fiction
Lawrence Block	A Dance at the Slaughterhouse	1992, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Peter Lovesey	The Last Detective	 Anthony-Award-for-Best-Novel-Winner, 1992	mystery-fiction
Tim Powers	Last Call	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1993, 1992	fantasy-fiction
Bradley Denton	Buddy Holly Is Alive and Well on Ganymede	1992, William Morrow and Company, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Tim Winton	Cloudstreet	Family-Friendship, Fiction, 1991, BBC-100-Most-Inspiring-Novels, Novel, Australian	fiction
Pat Barker	Regeneration	Fiction, 1991, British, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict	fiction
Michael Swanwick	Stations of the Tide	1991, Novel, William Morrow and Company, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1991, Asimov's Science Fiction, science-fiction	science-fiction
Lois McMaster Bujold	The Vor Game	1991, Novel, Hugo-Award-for-Best-Novel, Baen Books, Hugo-Award-for-Best-Novel1991, science-fiction	science-fiction
Lois McMaster Bujold	Barrayar	Analog Science Fact, Fiction, 1991, novel, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, Novel, science fiction, Locus-Award-for-Best-Science-Fiction1992, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-for-Best-Science-Fiction, Hugo-Award-for-Best-Novel1992, science-fiction	science-fiction
Nancy Pickard	I.O.U.	Agatha-Award-for-Best-Novel-Winner, 1991	mystery-fiction
Julie Smith	New Orleans Mourning	1991, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sue Grafton	G Is for Gumshoe	 Anthony-Award-for-Best-Novel-Winner, 1991	mystery-fiction
Sheri S. Tepper	Beauty	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1992, 1991	fantasy-fiction
Kim Stanley Robinson	Pacific Edge	1991, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
A.S. Byatt	Possession	Fiction, 1990, Novel, Booker Prize (1990), Times-All-Time-100-Novels	fiction
Ursula K. Le Guin	Tehanu: The Last Book of Earthsea	Locus-Award-For-Best-Fantasy-Novel, Fiction, BBC-100-Most-Inspiring-Novels, 1990, Novel, Nebula-Award-for-Best-Novel1990, Locus-Award-for-Best-Fantasy1991, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, Macmillan Publishers, science-fiction	science-fiction
Nancy Pickard	Bum Steer	Agatha-Award-for-Best-Novel-Winner, 1990	mystery-fiction
James Lee Burke	Black Cherry Blues	1990, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sarah Caudwell	The Sirens Sang of Murder	 Anthony-Award-for-Best-Novel-Winner, 1990	mystery-fiction
Dan Simmons	The Fall of Hyperion	Locus-Award-for-Best-Science-Fiction1991, Locus-Award-for-Best-Science-Fiction, 1990	science-fiction
Geoff Ryman	The Child Garden	1990, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Unwin Hyman, science-fiction	science-fiction
Neil Gaiman	The Sandman	Life-Death-Other-Worlds, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1989	fiction
Elizabeth Ann Scarborough	The Healer's War	Doubleday Foundation, Novel, 1989, Nebula-Award-for-Best-Novel1989, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Dan Simmons	Hyperion	Doubleday, Fiction, Novel, Hugo-Award-for-Best-Novel, 1989, novel, Locus-Award-for-Best-Science-Fiction, science-fiction, Locus-Award-for-Best-Science-Fiction1990, Hugo-Award-for-Best-Novel1990, Locus-Award-For-Best-Science-Fiction, science fiction	science-fiction
Elizabeth Peters	Naked Once More	1989, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Stuart M. Kaminsky	A Cold Red Sunrise	1989, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Thomas Harris	The Silence of the Lambs	 Anthony-Award-for-Best-Novel-Winner, 1989	mystery-fiction
Orson Scott Card	Prentice Alvin	Locus-Award-for-Best-Fantasy-Fiction, 1989, Locus-Award-for-Best-Fantasy1990	fantasy-fiction
Kazuo Ishiguro	The Remains of the Day	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1989, Nobel Prize in Literature (2017), Class-Society	fiction
Bruce Sterling	Islands in the Net	Novel, 1989, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Arbor House, science-fiction	science-fiction
Bapsi Sidhwa	Ice Candy Man	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, 1988	fiction
Alan Moore	V for Vendetta	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1988, Politics-Power-Protest	fiction
Lois McMaster Bujold	Falling Free	Analog Science Fact, Fiction, Novel, 1988, Nebula-Award-for-Best-Novel1988, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
C. J. Cherryh	Cyteen	Fiction, Novel, Hugo-Award-for-Best-Novel, novel, 1988, Locus-Award-for-Best-Science-Fiction, science-fiction, Hugo-Award-for-Best-Novel1989, Warner Books, Locus-Award-For-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1989, science fiction	science-fiction
Carolyn G. Hart	Something Wicked	1988, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Aaron Elkins	Old Bones	1988, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Tony Hillerman	Skinwalkers	 Anthony-Award-for-Best-Novel-Winner, 1988	mystery-fiction
Orson Scott Card	Red Prophet	Locus-Award-for-Best-Fantasy-Fiction, 1988, Locus-Award-for-Best-Fantasy1989	fantasy-fiction
Connie Willis	Lincoln's Dreams	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 1988, Bantam Spectra, science-fiction	science-fiction
Jeanette Winterson	The Passion	Fiction, British, BBC-100-Most-Inspiring-Novels, 1987, Novel, Love-Sex-Romance	fiction
Toni Morrison	Beloved	Fiction, BBC-100-Most-Inspiring-Novels, 1987, Novel, Toni Morrison, American, Identity	fiction
Pat Murphy	The Falling Woman	1987, Novel, science-fiction, Nebula-Award-for-Best-Novel1987, Nebula-Award-for-Best-Novel, Tor Books,  Nebula-Award-for-Best-Novel1987	science-fiction
David Brin	The Uplift War	Fiction, 1987, Locus-Award-for-Best-Science-Fiction1988, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Bantam Spectra, Hugo-Award-for-Best-Novel1988, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, science-fiction	science-fiction
Barbara Vine	A Dark-Adapted Eye	1987, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sue Grafton	C Is for Corpse	 Anthony-Award-for-Best-Novel-Winner, 1987	mystery-fiction
Orson Scott Card	Seventh Son	Locus-Award-for-Best-Fantasy-Fiction, 1987, Locus-Award-for-Best-Fantasy1988	fantasy-fiction
Joan Slonczewski	A Door into Ocean	1987, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Arbor House, science-fiction	science-fiction
Richard Ford	The Sportswriter	Novel, Fiction, 1986, Times-All-Time-100-Novels	fiction
Orson Scott Card	Speaker for the Dead	Fiction, 1986, Nebula-Award-for-Best-Novel1986, novel, Hugo-Award-for-Best-Novel, Novel, Locus-Award-for-Best-Science-Fiction, Nebula-Award-for-Best-Novel, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Locus-Award-for-Best-Science-Fiction1987, Locus-Award-For-Best-Science-Fiction, Tor Books, Hugo-Award-for-Best-Novel1987, science fiction	science-fiction
L.R. Wright	The Suspect	1986, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sue Grafton	B Is for Burglar	 Anthony-Award-for-Best-Novel-Winner, 1986	mystery-fiction
Gene Wolfe	Soldier of the Mist	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1987, 1986	fantasy-fiction
Jilly Cooper	Riders	Fiction, British, BBC-100-Most-Inspiring-Novels, 1985, Novel, Love-Sex-Romance	fiction
Don DeLillo	White Noise	Novel, Fiction, 1985, Times-All-Time-100-Novels	fiction
Cormac McCarthy	Blood Meridian	Novel, Fiction, 1985, Times-All-Time-100-Novels	fiction
Orson Scott Card	Ender's Game	1985, Novel, Hugo-Award-for-Best-Novel, novel, science-fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1985, Tor Books, Hugo-Award-for-Best-Novel1986, science fiction	science-fiction
Ross Thomas	Briar Patch	1985, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
David Brin	The Postman	1986, 1985, Novel, Bantam Spectra, science-fiction, Locus-Award-for-Best-Science-Fiction1986, Locus-Award-for-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Roger Zelazny	Trumps of Doom	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1986, 1985	fantasy-fiction
Frederik Pohl	The Years of the City	1985, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Timescape, science-fiction	science-fiction
Angela Carter	Nights at the Circus	Fiction, British, BBC-100-Most-Inspiring-Novels, 1984, Novel, Rule-Breakers	fiction
William Gibson	Neuromancer	Fiction, Ace Books, Nebula Award (1984), 1984, novel, Hugo-Award-for-Best-Novel, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel, science fiction, Hugo Award (1985), Times-All-Time-100-Novels, Philip K. Dick Award (1984), Nebula Award (1985), Nebula-Award-for-Best-Novel1984, Hugo-Award-for-Best-Novel1985, science-fiction	science-fiction
Martin Amis	Money	Novel, Fiction, 1984, Times-All-Time-100-Novels	fiction
Elmore Leonard	La Brava	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1984	mystery-fiction
Larry Niven	The Integral Trees	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1985, 1984	science-fiction
Robert A. Heinlein	Job: A Comedy of Justice	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1985, 1984	fantasy-fiction
Gene Wolfe	The Citadel of the Autarch	1984, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Timescape, science-fiction	science-fiction
Terry Pratchett	Discworld (series)	1983, Life-Death-Other-Worlds, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel	fiction
Roald Dahl	The Witches	1983, Family-Friendship, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel	fiction
David Brin	Startide Rising	1983, Hugo-Award-for-Best-Novel1984, Fiction, novel, Hugo-Award-for-Best-Novel, Novel, Locus-Award-for-Best-Science-Fiction, Nebula-Award-for-Best-Novel, science-fiction, Locus-Award-for-Best-Science-Fiction1984, Bantam Books, Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel1983, science fiction	science-fiction
Rick Boyer	Billingsgate Shoal	1983, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Marion Zimmer Bradley	The Mists of Avalon	1983, Locus-Award-for-Best-Fantasy1984, Locus-Award-for-Best-Fantasy-Fiction	fantasy-fiction
Brian W. Aldiss	Helliconia Spring	1983, Atheneum Books, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Sue Townsend	The Secret Diary of Adrian Mole, Aged 13 ¾	1982, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age	fiction
Audre Lorde	Zami: A New Spelling of My Name	1982, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, American	fiction
Michael Bishop	No Enemy But Time	1982, Timescape Books, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Timescape, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1982, science-fiction	science-fiction
Isaac Asimov	Foundation's Edge	Doubleday, 1982, Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1983, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel1983, Locus-Award-for-Best-Science-Fiction, science-fiction	science-fiction
William Bayer	Peregrine	1982, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Gene Wolfe	The Sword of the Lictor	Locus-Award-for-Best-Fantasy-Fiction, 1982, Locus-Award-for-Best-Fantasy1983	fantasy-fiction
Alice Walker	The Color Purple	1982, Fiction, BBC-100-Most-Inspiring-Novels, Novel, American, Pulitzer Prize for Fiction (1983), Politics-Power-Protest	fiction
Russell Hoban	Riddley Walker	1982, Novel, science-fiction, Jonathan Cape, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Salman Rushdie	Midnight’s Children	1981, Fiction, Novel, Booker Prize (1981), Times-All-Time-100-Novels	1981, Booker Prize (1981)
Gene Wolfe	The Claw of the Conciliator	1981, Locus-Award-For-Best-Fantasy-Novel, Fiction, Timescape Books, Fantasy, Novel, World-Fantasy-Award-finalist, Timescape, Locus-Award-for-Best-Fantasy1982, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1981, science-fiction	science-fiction
C. J. Cherryh	Downbelow Station	1981, Novel, Hugo-Award-for-Best-Novel, novel, DAW Books, science-fiction, Hugo-Award-for-Best-Novel1982, science fiction	science-fiction
Dick Francis	Whip Hand	1981, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Julian May	The Many-Colored Land	Locus-Award-for-Best-Science-Fiction, 1981, Locus-Award-for-Best-Science-Fiction1982	science-fiction
William Maxwell	So Long, See You Tomorrow	1980, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age, American	fiction
Marilynne Robinson	Housekeeping	Novel, 1980, Fiction, Times-All-Time-100-Novels	fiction
Gregory Benford	Timescape	Schuster, 1980, 1981, Novel, novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science fiction, science-fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Simon & Schuster, Simon, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1980	science-fiction
